household_id,coupon_upc,campaign_id,redemption_date
1029,51380041013,26,2017-01-01
1029,51380041313,26,2017-01-01
165,53377610033,26,2017-01-03
712,51380041013,26,2017-01-07
712,54300016033,26,2017-01-07
2488,51200092776,26,2017-01-10
2488,51410010050,26,2017-01-10
1923,53000012033,26,2017-01-14
1923,54300021057,26,2017-01-14
1923,57047091041,26,2017-01-14
1393,53000012033,26,2017-01-15
1773,51200000033,26,2017-01-22
1773,54060060033,26,2017-01-22
1773,57455024450,26,2017-01-22
896,53663200076,26,2017-01-28
1642,54850010009,26,2017-01-28
2448,52100023020,25,2017-01-28
1795,52840000051,26,2017-01-29
1795,57047091041,26,2017-01-29
1831,54400000033,26,2017-02-08
2280,51254711078,27,2017-02-08
2280,57103800077,27,2017-02-08
93,54400000033,26,2017-02-10
2451,54200000076,27,2017-02-10
681,54460000050,27,2017-02-11
888,52100026076,27,2017-02-12
888,54200000076,27,2017-02-12
947,51113240041,27,2017-02-12
2200,51960010076,27,2017-02-12
2448,51111081540,27,2017-02-12
1029,51380041013,26,2017-02-13
93,51380041013,26,2017-02-14
362,51111070124,27,2017-02-15
362,52586611376,27,2017-02-15
367,51116200076,27,2017-02-15
889,52819011176,27,2017-02-15
889,52920000028,27,2017-02-15
239,51111037250,27,2017-02-17
239,52100026076,27,2017-02-17
883,54154888076,27,2017-02-17
22,51600070033,27,2017-02-18
68,54154888076,27,2017-02-18
681,53620010050,27,2017-02-18
681,54740018078,27,2017-02-18
2124,52100026076,27,2017-02-18
2007,51111010133,27,2017-02-19
2007,51111081160,27,2017-02-19
2451,55100090033,27,2017-02-21
437,57023000076,27,2017-02-22
699,52100026076,27,2017-02-22
367,10000085320,27,2017-02-23
367,51111074232,27,2017-02-23
367,54850011076,27,2017-02-23
588,52100000076,27,2017-02-24
588,52100041013,27,2017-02-24
2148,51111070124,27,2017-02-25
1856,51111010133,27,2017-02-26
1856,52586611376,27,2017-02-26
2448,51015877076,27,2017-02-26
1364,54154888076,27,2017-02-27
2124,55703710075,27,2017-02-27
2331,51111073935,27,2017-02-28
2331,51111074635,27,2017-02-28
367,54154888076,27,2017-03-01
1421,54154888076,27,2017-03-01
2233,54154888076,27,2017-03-01
2233,54850011076,27,2017-03-01
2240,53600011082,27,2017-03-01
239,54460000050,27,2017-03-03
1238,57756765875,27,2017-03-03
239,54589300078,27,2017-03-05
588,10000085320,27,2017-03-05
2305,53010030033,27,2017-03-05
936,53700021125,27,2017-03-06
718,51111070124,27,2017-03-08
2489,52100000076,27,2017-03-14
2489,52100026076,27,2017-03-14
367,52300021041,27,2017-03-15
2305,51111111175,3,2017-03-16
972,57756765875,27,2017-03-17
239,51111074175,2,2017-03-18
1299,51111074175,2,2017-03-18
1299,51530011350,2,2017-03-18
1299,53800030050,2,2017-03-18
1299,57218050076,2,2017-03-18
239,52586611376,27,2017-03-20
1287,52100026075,27,2017-03-20
1287,52100026076,27,2017-03-20
1634,51111010133,27,2017-03-22
1634,53700012075,27,2017-03-22
2244,57790000075,27,2017-03-25
2457,52400060032,27,2017-03-25
2200,54154888076,27,2017-03-26
2427,53620010028,3,2017-03-27
1921,54300026150,4,2017-03-31
93,51380040009,1,2017-04-01
22,52277610055,4,2017-04-02
22,53450050033,4,2017-04-02
22,54300026150,4,2017-04-02
464,51111540076,4,2017-04-03
2443,53450050033,4,2017-04-04
2443,54759930033,4,2017-04-04
22,51111540076,4,2017-04-08
1451,54420933024,4,2017-04-10
2451,54420933024,4,2017-04-10
2451,54300026150,4,2017-04-11
2066,51500050013,5,2017-04-13
979,53700048182,5,2017-04-14
889,53700048182,5,2017-04-18
1710,53700048182,5,2017-04-21
13,53700048182,5,2017-04-22
1917,53663271277,6,2017-04-22
2024,53600010082,5,2017-04-25
115,50813700076,5,2017-04-26
115,53600010082,5,2017-04-26
115,50813700076,5,2017-05-03
115,53600010082,5,2017-05-03
115,57007440087,5,2017-05-03
979,53700048182,5,2017-05-04
979,58087858576,7,2017-05-04
1248,53600010082,5,2017-05-04
2366,53700048051,7,2017-05-07
2366,57050100076,7,2017-05-07
1453,57457010076,8,2017-05-08
2085,10000089029,8,2017-05-08
2085,10000089040,8,2017-05-08
2085,52100041050,8,2017-05-08
2085,55000013033,8,2017-05-08
239,10000089012,8,2017-05-09
1083,55100012140,8,2017-05-09
1453,53600000078,8,2017-05-09
2280,53600000078,8,2017-05-09
306,10000089053,8,2017-05-10
306,53500029075,8,2017-05-10
306,54300031076,8,2017-05-10
307,10000089012,8,2017-05-10
1396,57631000076,8,2017-05-10
222,10000089038,8,2017-05-11
354,10000085364,8,2017-05-11
354,10000085366,8,2017-05-11
397,10000085364,8,2017-05-11
397,57214010082,8,2017-05-11
573,10000085364,8,2017-05-11
573,55000013033,8,2017-05-11
573,57910012076,8,2017-05-11
647,10000085363,8,2017-05-11
647,10000089047,8,2017-05-11
1534,55100012140,8,2017-05-11
1693,51862700076,8,2017-05-11
1795,54132220050,8,2017-05-11
1795,54154889078,8,2017-05-11
1795,55100055075,8,2017-05-11
1795,55100090033,8,2017-05-11
1856,53600000078,8,2017-05-11
2233,10000085366,8,2017-05-11
2233,57910012076,8,2017-05-11
2380,10000089018,8,2017-05-11
2380,53010010033,8,2017-05-11
2380,53800050033,8,2017-05-11
2451,10000085361,8,2017-05-11
2489,10000089054,8,2017-05-11
2489,52700040009,8,2017-05-11
2489,53600000078,8,2017-05-11
239,10000085364,8,2017-05-12
239,54300031076,8,2017-05-12
393,57910012076,8,2017-05-12
1015,10000089026,8,2017-05-12
1098,10000085364,8,2017-05-12
1098,50008130078,8,2017-05-12
1098,53663200076,8,2017-05-12
1098,54610020076,8,2017-05-12
1337,10000085361,8,2017-05-12
1337,57045970076,8,2017-05-12
1677,53600000078,8,2017-05-12
2341,10000085367,8,2017-05-12
2341,52840031033,8,2017-05-12
125,54154888076,8,2017-05-13
125,54154889078,8,2017-05-13
243,10000085361,8,2017-05-13
243,10000089023,8,2017-05-13
243,54154888076,8,2017-05-13
574,10000085361,8,2017-05-13
574,10000089018,8,2017-05-13
574,53810077076,8,2017-05-13
680,53010010033,8,2017-05-13
993,10000085364,8,2017-05-13
993,54154888076,8,2017-05-13
1633,10000085364,8,2017-05-13
679,52740020076,8,2017-05-14
877,10000085364,8,2017-05-14
877,54154888076,8,2017-05-14
877,55100012140,8,2017-05-14
877,57192117133,8,2017-05-14
1430,10000085364,8,2017-05-14
1618,52586611376,8,2017-05-14
1937,10000085361,8,2017-05-14
1965,10000085361,8,2017-05-14
2115,10000085363,8,2017-05-14
2115,57045970076,8,2017-05-14
46,10000085361,8,2017-05-15
46,10000085363,8,2017-05-15
1588,10000085364,8,2017-05-15
1687,10000085364,8,2017-05-15
1975,57631000076,8,2017-05-15
2317,10000085364,8,2017-05-15
2317,51111110076,8,2017-05-15
2317,53620010050,8,2017-05-15
56,57800000033,8,2017-05-16
306,10000085361,8,2017-05-16
389,57127900036,8,2017-05-16
426,53010010033,8,2017-05-16
